title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
The International,2009-02-03,50000000,60161391,118,2.912,6.24,1304,False,Tom Tykwer,Clive Owen,10161391,0.16890219509718452,Studio Babelsberg,Action,Thriller,Drama
World's Greatest Dad,2009-08-20,10000000,295750,99,2.9113,6.6,616,False,Bobcat Goldthwait,Robin Williams,-9704250,-32.8123415046492,Magnolia Pictures,Comedy,Drama,
Inkheart,2008-12-11,60000000,62803180,106,2.9104,6.3,2140,False,Iain Softley,Brendan Fraser,2803180,0.0446343640560876,New Line Cinema,Adventure,Family,Fantasy
The Producers,2005-12-25,45000000,38058335,135,2.9098,6.2,473,False,Susan Stroman,Nathan Lane,-6941665,-0.18239539380795297,Universal Pictures,Comedy,,
The Amazing Maurice,2022-12-16,17000000,21110363,93,2.9087,6.7,163,False,Toby Genkel,Hugh Laurie,4110363,0.19470830511062268,Ulysses Filmproduktion,Animation,Adventure,Comedy
Firewall,2006-02-08,45000000,82800000,105,2.9014,5.8,969,False,Richard Loncraine,Harrison Ford,37800000,0.45652173913043476,Village Roadshow Pictures,Action,Crime,Thriller
Diary of a Mad Black Woman,2005-02-25,5500000,50652203,116,2.9008,6.5,221,True,Darren Grant,Kimberly Elise,45152203,0.8914163713669078,Diary of a Woman Inc.,Drama,Romance,Comedy
Freaks,2019-09-12,2000,368410,105,2.9001,6.8,1181,False,Zach Lipovsky,Emile Hirsch,366410,0.9945712657093998,Amazing Incorporated,Science Fiction,,
United 93,2006-04-28,15000000,76300000,111,2.8981,7.1,1532,False,Paul Greengrass,J.J. Johnson,61300000,0.8034076015727392,Sidney Kimmel Entertainment,Drama,History,Crime
Walking Tall,2004-04-02,46000000,57223888,86,2.8979,6.321,1543,True,Kevin Bray,Dwayne Johnson,11223888,0.1961399057680247,Mandeville Films,Adventure,Drama,Action
Sweet Home Alabama,2002-09-26,30000000,180622424,108,2.8935,6.397,1566,False,Andy Tennant,Reese Witherspoon,150622424,0.8339076658610228,Touchstone Pictures,Comedy,Romance,
Tristan & Isolde,2006-04-07,31000000,28000000,125,2.8916,6.7,802,False,Kevin Reynolds,James Franco,-3000000,-0.10714285714285714,QI Quality International GmbH Co. KG,Drama,Romance,
Animal Kingdom,2010-06-03,5000000,1000000,113,2.8912,6.8,841,False,David Michôd,Ben Mendelsohn,-4000000,-4.0,Porchlight Films,Crime,Drama,
All the Money in the World,2017-12-21,50000000,56996304,132,2.891,6.5,2298,False,Ridley Scott,Michelle Williams,6996304,0.12275013481575928,Imperative Entertainment,Crime,History,Thriller
Zoolander 2,2016-02-06,50000000,56722693,100,2.8909,4.9,2271,True,Ben Stiller,Ben Stiller,6722693,0.11851857950397383,Paramount Pictures,Comedy,Adventure,Action
Bandits,2001-10-12,75000000,67631903,123,2.8899,6.3,1022,False,Barry Levinson,Bruce Willis,-7368097,-0.10894410290362523,Epsilon Motion Pictures,Comedy,Crime,
The Manchurian Candidate,2004-07-30,80000000,96105964,129,2.8898,6.477,1611,False,Jonathan Demme,Denzel Washington,16105964,0.16758547887829314,Clinica Estetico,Drama,Thriller,Mystery
Wonder Park,2019-03-13,100000000,119559110,86,2.8877,6.5,715,False,Dylan Brown,Brianna Denski,19559110,0.1635936399994948,Nickelodeon Movies,Comedy,Animation,Adventure
Skiptrace,2016-07-21,32000000,58500000,107,2.8873,5.695,713,False,Renny Harlin,Jackie Chan,26500000,0.452991452991453,JC Group International,Action,Adventure,Crime
Arctic,2018-11-21,2000000,4100000,98,2.8858,6.5,1249,False,Joe Penna,Mads Mikkelsen,2100000,0.5121951219512195,Armory Films,Drama,Adventure,
Funny People,2009-07-30,75000000,71600000,146,2.8852,5.891,1335,False,Judd Apatow,Adam Sandler,-3400000,-0.04748603351955307,Universal Pictures,Comedy,Drama,
Sleepless,2017-01-12,30000000,32540674,95,2.8848,5.9,1275,False,Baran bo Odar,Jamie Foxx,2540674,0.07807687081097336,Vertigo Entertainment,Action,Crime,Thriller
Brick Mansions,2014-04-22,28000000,71416730,90,2.8836,5.9,1536,False,Camille Delamarre,Paul Walker,43416730,0.6079350034648744,EuropaCorp,Action,Crime,Drama
Elizabethtown,2005-10-14,57000000,52200000,123,2.8809,6.183,1128,False,Cameron Crowe,Orlando Bloom,-4800000,-0.09195402298850575,Paramount Pictures,Comedy,Drama,Romance
Derailed,2005-11-11,22000000,57479076,108,2.8794,6.4,1051,False,Mikael Håfström,Clive Owen,35479076,0.6172520240234899,di Bonaventura Pictures,Drama,Thriller,
Madea Goes to Jail,2009-02-20,17500000,90508336,102,2.8743,6.464,197,True,Tyler Perry,Tyler Perry,73008336,0.8066476440357936,Tyler Perry Studios,Comedy,Crime,Drama
Eye in the Sky,2015-09-07,13000000,18704595,102,2.8737,7.009,1611,False,Gavin Hood,Helen Mirren,5704595,0.30498361498872334,Raindog Films,Drama,Thriller,War
You Were Never Really Here,2017-11-08,17000000,9400000,89,2.8711,6.5,2870,False,Lynne Ramsay,Joaquin Phoenix,-7600000,-0.8085106382978723,Why Not Productions,Crime,Drama,Thriller
The Tigger Movie,2000-02-11,30000000,45554533,77,2.871,6.6,580,False,Jun Falkenstein,Jim Cummings,15554533,0.3414486325652817,Walt Disney Pictures,Animation,Family,Comedy
Deliver Us from Evil,2014-07-01,30000000,87937815,118,2.8708,6.254,2096,False,Scott Derrickson,Eric Bana,57937815,0.6588498361029325,LStar Capital,Thriller,Crime,Horror
Cadillac Records,2008-12-05,12000000,8880045,109,2.8679,7.102,450,False,Darnell Martin,Adrien Brody,-3119955,-0.3513445033217737,Parkwood Entertainment,Drama,History,Music
Dope,2015-06-19,7000000,17986781,103,2.8666,7.1,1499,False,Rick Famuyiwa,Shameik Moore,10986781,0.6108253055396627,Revolt Films,Crime,Drama,Comedy
Extremely Loud & Incredibly Close,2011-12-25,40000000,55200000,129,2.8659,7.0,2038,False,Stephen Daldry,Tom Hanks,15200000,0.2753623188405797,Warner Bros. Pictures,Drama,,
Draft Day,2014-04-11,25000000,28831145,110,2.8646,6.7,949,False,Ivan Reitman,Kevin Costner,3831145,0.13288216614359227,Lionsgate,Drama,,
Hotel Artemis,2018-06-07,15000000,12371132,94,2.8642,6.1,1579,False,Drew Pearce,Jodie Foster,-2628868,-0.212500198041699,The Ink Factory,Thriller,Science Fiction,Action
Attack the Block,2011-05-12,14350531,3964682,88,2.8621,6.45,2107,True,Joe Cornish,John Boyega,-10385849,-2.6195919370078107,UK Film Council,Action,Comedy,Science Fiction
